SCHOOLDIST,status
KEENE,None Reported
KENDALL,None Reported
KENMORE,None Reported
KINGS PARK,None Reported
KINGSTON,Delay
KIRYAS JOEL,None Reported
LA FAYETTE,None Reported
LACKAWANA,None Reported
LAFARGEVILLE,None Reported
LAKE GEORGE,None Reported
LAKE PLACID,None Reported
LAKE PLEASANT,None Reported
LAKELAND,Delay
LANCASTER,None Reported
LANSING,None Reported
LANSINGBURGH,None Reported
LAURENS,None Reported
LAWRENCE,None Reported
LE ROY,None Reported
LETCHWORTH,None Reported
LEVITTOWN,None Reported
LEWISTON-PORTER,None Reported
LIBERTY,Delay
LINDENHURST,None Reported
LISBON,None Reported
LITTLE FALLS,None Reported
LIVERPOOL,None Reported
LIVINGSTON MANOR,None Reported
LIVONIA,None Reported
LOCKPORT,None Reported
LOCUST VALLEY,None Reported
LONG BEACH,None Reported
LONG LAKE,None Reported
LONGWOOD,None Reported
LOWVILLE,None Reported
LYDONVILLE,None Reported
LYME,None Reported
LYNBROOK,None Reported
LYNCOURT,None Reported
LYONS,None Reported
MADISON,None Reported
MADRID-WADDINGTON,None Reported
MAHOPAC,Delay
MAINE-ENDWELL,None Reported
MALONE,None Reported
MALVERNE,None Reported
MAMARONECK,Delay
MANCHESTER-SHORTSVIL,None Reported
MANHASSET,None Reported
MANHATTAN 1,None Reported
MANHATTAN 2,None Reported
MANHATTAN 3,None Reported
MANHATTAN 4,None Reported
MANHATTAN 5,None Reported
MANHATTAN 6,None Reported
MAPLEWOOD,None Reported
MARATHON,None Reported
MARCELLUS,None Reported
MARGARETVILLE,None Reported
MARION,None Reported
MARLBORO,Delay
MASSAPEQUA,None Reported
MASSENA,None Reported
MATTITUCK - CUTCHOQU,None Reported
MAYFIELD,None Reported
MCGRAW,None Reported
MECHANICVILLE,None Reported
MEDINA,None Reported
MENANDS,None Reported
MERRICK,None Reported
MEXICO,None Reported
MIDDLE COUNTRY,None Reported
MIDDLEBURGH,None Reported
MIDDLETOWN,Delay
MILFORD,None Reported
MILLBROOK,None Reported
MILLER PLACE,None Reported
MINEOLA,None Reported
MINERVA,None Reported
MINISINK VALLEY,Delay
MOHONASEN,None Reported
MONROE-WOODBURY,None Reported
MONTAUK,None Reported
MONTICELLO,None Reported
MORAVIA,None Reported
MORIAH,None Reported
MORRIS,None Reported
MORRISTOWN,None Reported
MORRISVILLE-EATON,None Reported
MOUNT MARKHAM,None Reported
MOUNT MORRIS,None Reported
MOUNT SINAI,None Reported
MOUNT VERNON,Delay
MT PLEASANT CENT,Delay
NANUET,None Reported
NAPLES,None Reported
NEW HARTFORD,None Reported
NEW HYDE PARK,None Reported
NEW LEBANON,Delay
NEW PALTZ,Delay
NEW ROCHELLE,None Reported
NEW SUFFOLK,None Reported
NEW YORK MILLS,None Reported
NEWARK,None Reported
NEWARK VALLEY,None Reported
NEWBURGH,Closed
NEWCOMB,None Reported
NEWFANE,None Reported
NEWFIELD,None Reported
NIAGARA FALLS,None Reported
NIAGARA-WHEATFIELD,None Reported
NISKAYUNA,None Reported
NO.TONAWANDA,None Reported
NORTH BABYLON,None Reported
NORTH BELLMORE,None Reported
NORTH COLLINS,None Reported
NORTH GREENBUSH,None Reported
NORTH MERRICK,None Reported
NORTH ROSE-WOLCOTT,None Reported
NORTH SALEM,None Reported
NORTH SHORE,None Reported
NORTH SYRACUSE,None Reported
NORTH WARREN,None Reported
NORTHEAST,Delay
NORTHEASTERN CLINTON,None Reported
NORTHERN ADIRONDACK,None Reported
NORTHPORT,None Reported
NORTHVILLE,None Reported
NORWICH CITY,None Reported
NORWOOD-NORFOLK,None Reported
NYACK,Delay
OAKFIELD-ALABAMA,None Reported
OCEANSIDE,None Reported
ODESSA-MONTOUR,None Reported
OESJ,None Reported
OGDENSBURG,None Reported
OLEAN,None Reported
ONEIDA CITY,None Reported
ONEONTA,None Reported
ONONDAGA,None Reported
ONTEORA,Delay
ORCHARD PARK,None Reported
ORISKANY,None Reported
OSSINING,Delay
OSWEGO,None Reported
OTEGO-UNADILLA,None Reported
OWEGO-APALACHIN,None Reported
OXFORD,None Reported
OYSTER BAY,None Reported
OYSTERPONDS,None Reported
PALMYRA-MACEDON,None Reported
PANAMA,None Reported
PARISHVILLE-HOPKI.,None Reported
PATCHOGUE-MEDFORD,None Reported
PAVILION,None Reported
PAWLING,Delay
PEARL RIVER,None Reported
PEEKSKILL,Closed
PELHAM,Delay
PEMBROKE,None Reported
PENFIELD,None Reported
PENN YAN,None Reported
PERRY,None Reported
PERU,None Reported
PHELPS-CLIFTON,None Reported
PHOENIX,None Reported
PINE BUSH,Delay
PINE PLAINS,None Reported
PINE VALLEY,None Reported
PISECO COMMON,None Reported
PITTSFORD,None Reported
PLAINEDGE,None Reported
PLAINVIEW,None Reported
PLATTSBURGH,None Reported
PLEASANTVILLE,Delay
POCANTICO HILLS,Delay
POLAND,None Reported
PORT BYRON,None Reported
PORT CHESTER-RYE,Delay
PORT JEFFERSON,None Reported
PORT JERVIS,Delay
PORT WASHINGTON,None Reported
PORTVILLE,None Reported
POTSDAM,None Reported
POUGHKEEPSIE,Delay
PRATTSBURG,None Reported
PULASKI,None Reported
PUTNAM,None Reported
PUTNAM VALLEY,None Reported
QUEENS 24,None Reported
QUEENS 25,None Reported
QUEENS 26,None Reported
QUEENS 27,None Reported
QUEENS 28,None Reported
QUEENS 29,None Reported
QUEENS 30,None Reported
QUEENSBURY,None Reported
QUOGUE,None Reported
RAMAPO(EDWIN GOULD),None Reported
RANDOLPH,None Reported
RAQUETTE LAKE,None Reported
RAVENA-COEYMANS,None Reported
RED CREEK,None Reported
RED HOOK,Delay
REMSEN,None Reported
REMSENBURG,None Reported
RENSSELAER,None Reported
RHINEBECK,None Reported
RICHFIELD SPRINGS,None Reported
RICHMOND 31,None Reported
RIPLEY,None Reported
RIVERHEAD,None Reported
ROCHESTER,None Reported
ROCKVILLE CENTRE,None Reported
ROCKY POINT,None Reported
ROME,None Reported
ROMULUS,None Reported
RONDOUT VALLEY,Delay
ROOSEVELT,None Reported
ROSCOE,None Reported
ROSLYN,None Reported
ROXBURY,None Reported
ROYALTON-HARTLAND,None Reported
RUSH-HENRIETTA,None Reported
RYE,None Reported
RYE NECK,Delay
S.GLENS FALLS,None Reported
SACHEM,None Reported
SACKETS HARBOUR,None Reported
SAG HARBOR,None Reported
SAGAPONACK,None Reported
SALAMANCA,None Reported
SALEM,None Reported
SALMON RIVER,None Reported
SANDY CREEK,None Reported
SARANAC,None Reported
